,year,month,day,part_of_day,weather_id,severe,temp_min,temp_max
77,2016,9,19,4,735.75,0.0,58.05050000000002,70.13075000000002
78,2016,9,20,1,800.5,0.0,61.66100000000004,70.16900000000003
79,2016,9,20,2,750.3333333333334,0.0,74.12270000000002,82.62770000000005
80,2016,9,20,3,800.0,0.0,72.49700000000003,85.50200000000001
81,2016,9,20,4,800.0,0.0,59.40500000000003,70.16900000000003
82,2016,9,21,1,800.0,0.0,53.33900000000003,64.66700000000004
83,2016,9,21,2,800.6666666666666,0.0,73.94540000000002,81.6134
84,2016,9,21,3,700.3333333333334,0.0,71.53850000000001,75.70550000000004
85,2016,9,21,4,800.0,0.0,57.50000000000006,69.83300000000001
86,2016,9,22,1,801.0,0.0,62.21000000000003,69.83900000000001
87,2016,9,22,2,800.8333333333334,0.0,78.16700000000003,87.83300000000003
